name;type;short_name;description
Advanced Modelling;Bain typical;Adv. modeling;
Answer First;Bain typical;Answer First;
Alteryx Basic;Bain typical;Alteryx Basic;
Tableau Basic;Bain typical;Tableau Basic;
High Impact, C-Level Presentations;Bain typical;High Impact Presentations;
Zero Defect Advanced;Bain typical;ZD Advanced;
Financial Analysis;Bain typical;Financial Analysis;
Making Slide Loops;Bain typical;Making Slide Loops;
Bain Slide Design;Bain typical;Bain Slide Design;
Data Cracking;Bain typical;Data Cracking;
80/20 Approach;Bain typical;80/20 Approach;
Making Bain Life Easier;Bain typical;Making Bain Life Easier;
Cash Flow;Bain typical;Cash Flow;
Client Relationship Management;Bain typical;CRM;
Financial Statements;Bain typical;Financial Statements;
Presentation Skills Basic;Bain typical;Presentation Skills Basic;
Valuation Basic;Bain typical;Valuation Basic;
Collaborating With Clients;Bain typical;Collaborating With Clients;
Excel Modeling Basic;Bain typical;Excel Modeling Basic;
Digital;Capabilities;Digital;
Performance Improvement;Capabilities;Performance Improvement;
Results Delivery;Capabilities;Results Delivery;
Founder's Mentality;Capabilities;Founder's Mentality;
Organization;Capabilities;Organization;
Financial Services;Industry;Financial Services;
Private Equity Topics;Industry;Private Equity Topics;
Consumer Product;Industry;Consumer Product;
Retail;Industry;Retail;
Healthcare;Industry;Healthcare;
Public Sector;Industry;Public Sector;
Agribusiness;Industry;Agribusiness;
Infrastructure Topics;Industry;Infrastructure Topics;
Mining;Industry;Mining;
Oil & Gas;Industry;Oil & Gas;
Utilities;Industry;Utilities;
Benchmarking;Tools;Benchmarking;
Primary Surveys;Tools;Primary Surveys;
Blockchain / Bitcoin;User suggestion;Blockchain / Bitcoin;
VBA Notions;User suggestion;VBA Notions;
Machine Learning;User suggestion;Machine Learning;
Applied Regression;User suggestion;Applied Regression;
Bloomberg For Beginners;User suggestion;Bloomberg For Beginners;
